"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"07-Sep-2022","EQ","424.25","433.55","422.70","430.95","430.60","432.85","428.09","636.00","308.95","7,043,379","3,015,203,355.50","77,764"
"06-Sep-2022","EQ","430.45","432.90","427.10","429.30","431.30","430.95","430.26","636.00","308.95","6,180,669","2,659,289,382.30","65,282"
"05-Sep-2022","EQ","415.00","430.20","415.00","414.90","428.80","429.30","426.48","636.00","308.95","14,707,728","6,272,601,912.35","156,984"
"02-Sep-2022","EQ","424.10","425.20","413.25","421.95","414.70","414.90","416.91","636.00","308.95","10,102,220","4,211,678,760.80","133,307"
"01-Sep-2022","EQ","424.00","431.60","420.80","439.00","423.00","421.95","425.05","636.00","308.95","14,093,149","5,990,228,284.50","159,718"
"30-Aug-2022","EQ","434.00","441.60","433.35","430.20","438.00","439.00","438.15","636.00","308.95","8,824,878","3,866,587,602.45","74,022"
"29-Aug-2022","EQ","418.05","433.00","418.05","440.05","431.20","430.20","427.12","636.00","308.95","7,716,457","3,295,877,461.00","81,278"
"26-Aug-2022","EQ","436.20","445.45","436.00","432.75","441.00","440.05","441.41","636.00","308.95","11,051,127","4,878,120,279.65","116,679"
"25-Aug-2022","EQ","430.95","436.75","429.70","428.85","434.00","432.75","434.02","636.00","308.95","6,818,164","2,959,244,165.50","75,604"
"24-Aug-2022","EQ","430.00","432.15","425.20","427.90","429.00","428.85","428.96","636.00","308.95","6,538,727","2,804,873,417.25","72,004"
"23-Aug-2022","EQ","415.05","431.80","413.85","418.50","429.00","427.90","426.64","636.00","308.95","8,605,014","3,671,263,273.45","134,289"
"22-Aug-2022","EQ","422.00","425.40","416.35","427.35","418.50","418.50","420.55","636.00","308.95","7,407,485","3,115,222,887.15","106,351"
"19-Aug-2022","EQ","442.00","442.00","425.10","438.05","426.35","427.35","432.86","636.00","308.95","8,116,871","3,513,487,464.15","81,468"
